Feature,Importance
asum_Maakri,0.00029196864
asum_Variku,0.00027347356
asum_Raeküla,0.00026924696
asum_Ihaste,0.0002691477
is_ground_floor,0.0002662083
asum_Ropka tööstuse,0.00025042807
asum_Vismeistri,0.00023940658
type_condition_Majaosa_Uus,0.00022602032
asum_Kuristiku,0.00020979291
asum_Kesklinn,0.00020523224
Architectural_Era_1710-1879,0.00018874797
asum_Annelinna,0.00018790508
energiaklass_H,0.00014327014
asum_Jaamamõisa,0.00013926152
asum_Väo,0.00012942393
asum_Lepiku,0.00012221452
Architectural_Era_2026+,0.00012031846
asum_Mäeküla,8.180379e-05
Architectural_Era_1000-1561,2.4003071e-05
Architectural_Era_1562-1710,2.649772e-06
asum_Aegna,0.0
asum_Papiniidu,0.0
